2021-01-15 00:52:38 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-cms] & group[DEFAULT_GROUP]
2021-01-15 00:52:38 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-cms.yaml] & group[DEFAULT_GROUP]
2021-01-15 00:52:38 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-cms-dev.yaml] & group[DEFAULT_GROUP]
2021-01-15 00:52:42 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 00:52:42 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 01:00:34 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8140%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-cms%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-cms&serviceName=DEFAULT_GROUP%40%40service-cms&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 03:26:21 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-cms] & group[DEFAULT_GROUP]
2021-01-15 03:26:23 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-cms.yaml] & group[DEFAULT_GROUP]
2021-01-15 03:26:23 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-cms-dev.yaml] & group[DEFAULT_GROUP]
2021-01-15 03:26:25 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 03:26:25 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 05:50:13 |WARN  |http-nio-8140-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7ae8e3ea (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:50:18 |WARN  |http-nio-8140-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@696c0b83 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:50:23 |WARN  |http-nio-8140-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@542db851 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:50:28 |WARN  |http-nio-8140-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@44c5297e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:50:33 |WARN  |http-nio-8140-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2950f0b3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:50:38 |WARN  |http-nio-8140-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@69785f77 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:51:18 |WARN  |http-nio-8140-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1feada7a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:51:23 |WARN  |http-nio-8140-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@56bb3176 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 05:51:28 |WARN  |http-nio-8140-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@75188d3e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 06:06:20 |WARN  |http-nio-8140-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10ff5e01 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 06:06:25 |WARN  |http-nio-8140-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4f091ccb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:37 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8140%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-cms%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-cms&serviceName=DEFAULT_GROUP%40%40service-cms&encoding=UTF-8&namespaceId=public from 39.102.46.244
