2021-01-16 03:33:05 |WARN  |com.alibaba.nacos.client.naming.updater |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/list?app=service-edu&healthyOnly=false&namespaceId=public&clientIP=127.0.1.1&serviceName=DEFAULT_GROUP%40%40service-vod&udpPort=48684&encoding=UTF-8 from 39.102.46.244
2021-01-16 03:41:53 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 03:41:53 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 03:41:56 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 03:41:56 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 03:53:44 |WARN  |http-nio-8110-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7e8f36a2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:53:49 |WARN  |http-nio-8110-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6a5fd548 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:53:54 |WARN  |http-nio-8110-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@618a3d72 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:42:07 |WARN  |http-nio-8110-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6259f624 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:42:12 |WARN  |http-nio-8110-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@496d4d9d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:42:15 |WARN  |http-nio-8110-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@54546dd7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:42:17 |WARN  |http-nio-8110-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@310d0de4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:44:20 |WARN  |http-nio-8110-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10d6eeb2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:44:25 |WARN  |http-nio-8110-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@12cc2d3d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:44:30 |WARN  |http-nio-8110-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@621522c0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 04:59:20 |WARN  |http-nio-8110-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5847a776 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 08:06:02 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 08:06:02 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 08:06:06 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 08:06:06 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 08:17:31 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 08:17:31 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 08:17:33 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 08:17:33 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:30:31 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 11:30:31 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 11:30:33 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:30:33 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:30:56 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get from server error, dataId=service-edu, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-16 11:30:56 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get snapshot ok, dataId=service-edu, group=DEFAULT_GROUP, tenant=, config=
2021-01-16 11:30:56 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 11:30:57 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get from server error, dataId=service-edu.properties, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-16 11:30:57 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get snapshot ok, dataId=service-edu.properties, group=DEFAULT_GROUP, tenant=, config=
2021-01-16 11:30:57 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu.properties] & group[DEFAULT_GROUP]
2021-01-16 11:30:58 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get from server error, dataId=service-edu-dev.properties, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-16 11:30:58 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get snapshot ok, dataId=service-edu-dev.properties, group=DEFAULT_GROUP, tenant=, config=
2021-01-16 11:30:58 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.properties] & group[DEFAULT_GROUP]
2021-01-16 11:31:00 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:31:00 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:31:26 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 11:31:26 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 11:31:28 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:31:28 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:32:50 |WARN  |com.alibaba.nacos.client.Worker.longPolling.fixed-39.102.46.244_8848 |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 11:32:50 |WARN  |com.alibaba.nacos.client.Worker.longPolling.fixed-39.102.46.244_8848 |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 11:33:03 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu] & group[DEFAULT_GROUP]
2021-01-16 11:33:03 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-edu-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 11:33:05 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 11:33:05 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
