2021-01-14 18:38:05 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get from server error, dataId=service-oss, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-14 18:38:05 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get snapshot ok, dataId=service-oss, group=DEFAULT_GROUP, tenant=, config=
2021-01-14 18:38:05 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-oss] & group[DEFAULT_GROUP]
2021-01-14 18:38:06 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get from server error, dataId=service-oss.properties, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-14 18:38:06 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get snapshot ok, dataId=service-oss.properties, group=DEFAULT_GROUP, tenant=, config=
2021-01-14 18:38:06 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-oss.properties] & group[DEFAULT_GROUP]
2021-01-14 18:38:06 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get from server error, dataId=service-oss-dev.properties, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-14 18:38:06 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-localhost_8848] [get-config] get snapshot ok, dataId=service-oss-dev.properties, group=DEFAULT_GROUP, tenant=, config=
2021-01-14 18:38:06 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-oss-dev.properties] & group[DEFAULT_GROUP]
2021-01-14 18:38:07 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[com.bit.jinggong.service.*.mapper]' package. Please check your configuration.
2021-01-14 18:38:08 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-14 18:38:08 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
