2021-01-16 03:33:06 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8160%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-ucenter%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-ucenter&serviceName=DEFAULT_GROUP%40%40service-ucenter&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-16 03:38:22 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7fb977f2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:38:27 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@423c2f70 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:38:32 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7a0d127c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:38:37 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6307fcc9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:38:42 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@71b8e0de (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:38:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3f89db7c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:41:36 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter] & group[DEFAULT_GROUP]
2021-01-16 03:41:37 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter.yaml] & group[DEFAULT_GROUP]
2021-01-16 03:41:37 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 03:41:39 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
