2021-01-13 23:39:36 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-39.102.46.244_8848] [get-config] get from server error, dataId=service-ucenter, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-13 23:39:36 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-39.102.46.244_8848] [get-config] get snapshot ok, dataId=service-ucenter, group=DEFAULT_GROUP, tenant=, config=
2021-01-13 23:39:36 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter] & group[DEFAULT_GROUP]
2021-01-13 23:39:37 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-39.102.46.244_8848] [get-config] get from server error, dataId=service-ucenter.yaml, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-13 23:39:37 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-39.102.46.244_8848] [get-config] get snapshot ok, dataId=service-ucenter.yaml, group=DEFAULT_GROUP, tenant=, config=
2021-01-13 23:39:37 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter.yaml] & group[DEFAULT_GROUP]
2021-01-13 23:39:37 |WARN  |main |NacosConfigService.java:185 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-39.102.46.244_8848] [get-config] get from server error, dataId=service-ucenter-dev.yaml, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:[NACOS HTTP-GET] The maximum number of tolerable server reconnection errors has been reached
2021-01-13 23:39:37 |WARN  |main |NacosConfigService.java:189 |com.alibaba.nacos.client.config.NacosConfigService |[fixed-39.102.46.244_8848] [get-config] get snapshot ok, dataId=service-ucenter-dev.yaml, group=DEFAULT_GROUP, tenant=, config=
2021-01-13 23:39:37 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter-dev.yaml] & group[DEFAULT_GROUP]
2021-01-13 23:39:39 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-13 23:39:39 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
