2021-01-15 03:20:19 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-vod] & group[DEFAULT_GROUP]
2021-01-15 03:20:19 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-vod.yaml] & group[DEFAULT_GROUP]
2021-01-15 03:20:19 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-vod-dev.yaml] & group[DEFAULT_GROUP]
2021-01-15 03:20:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[com.bit.jinggong.service.*.mapper]' package. Please check your configuration.
2021-01-15 03:20:20 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 03:20:20 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-15 04:20:00 |WARN  |http-nio-8130-exec-4 |MediaController.java:50 |com.bit.jinggong.service.vod.controller.admin.MediaController |service-vod MediaController：videoSourceId= 124cd37371514a1f9eddc7e33677a8f9
2021-01-15 21:05:33 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8130%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-vod%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-vod&serviceName=DEFAULT_GROUP%40%40service-vod&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 21:05:41 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8130%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-vod%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-vod&serviceName=DEFAULT_GROUP%40%40service-vod&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 21:05:49 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8130%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-vod%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-vod&serviceName=DEFAULT_GROUP%40%40service-vod&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 21:05:57 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8130%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-vod%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-vod&serviceName=DEFAULT_GROUP%40%40service-vod&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 21:24:10 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8130%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-vod%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-vod&serviceName=DEFAULT_GROUP%40%40service-vod&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 22:07:05 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8130%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-vod%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-vod&serviceName=DEFAULT_GROUP%40%40service-vod&encoding=UTF-8&namespaceId=public from 39.102.46.244
